ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Context
TS_0070_i,TS,0070_i,p,,,Zhou2021,i
TS_0070-02b0_i,TS,0070-02b0_i,pʰ,,,Zhou2021,i
TS_0074_i,TS,0074_i,t,,,Zhou2021,i
TS_0074-02b0_i,TS,0074-02b0_i,tʰ,,,Zhou2021,i
TS_006b_i,TS,006b_i,k,,,Zhou2021,i
TS_006b-02b0_i,TS,006b-02b0_i,kʰ,,,Zhou2021,i
TS_0294_i,TS,0294_i,ʔ,,,Zhou2021,i
TS_02a6_i,TS,02a6_i,ʦ,,,Zhou2021,i
TS_02a6-02b0_i,TS,02a6-02b0_i,ʦʰ,,,Zhou2021,i
TS_02a8_i,TS,02a8_i,ʨ,,,Zhou2021,i
TS_02a8-02b0_i,TS,02a8-02b0_i,ʨʰ,,,Zhou2021,i
TS_0073_i,TS,0073_i,s,,,Zhou2021,i
TS_007a_i,TS,007a_i,z,,,Zhou2021,i
TS_0255_i,TS,0255_i,ɕ,,,Zhou2021,i
TS_0291_i,TS,0291_i,ʑ,,,Zhou2021,i
TS_0078_i,TS,0078_i,x,,,Zhou2021,i
TS_0263_i,TS,0263_i,ɣ,,,Zhou2021,i
TS_006d_i,TS,006d_i,m,,,Zhou2021,i
TS_0077_i,TS,0077_i,w,,,Zhou2021,i
TS_006c_i,TS,006c_i,l,,,Zhou2021,i
TS_0235_i,TS,0235_i,ȵ,,,Zhou2021,i
TS_006a_i,TS,006a_i,j,,,Zhou2021,i
TS_014b_i,TS,014b_i,ŋ,,,Zhou2021,i
TS_0069_n,TS,0069_n,i,,,Zhou2021,n
TS_0264_n,TS,0264_n,ɤ,,,Zhou2021,n
TS_0061_n,TS,0061_n,a,,,Zhou2021,n
TS_0254_n,TS,0254_n,ɔ,,,Zhou2021,n
TS_0075_n,TS,0075_n,u,,,Zhou2021,n
TS_0061-0069_n,TS,0061-0069_n,ai,,,Zhou2021,n
TS_0065-0069_n,TS,0065-0069_n,ei,,,Zhou2021,n
TS_0061-0075_n,TS,0061-0075_n,au,,,Zhou2021,n
TS_006f-0075_n,TS,006f-0075_n,ou,,,Zhou2021,n
TS_0129_n,TS,0129_n,ĩ,,,Zhou2021,n
TS_025b-0303_n,TS,025b-0303_n,ɛ̃,,,Zhou2021,n
TS_00e3_n,TS,00e3_n,ã,,,Zhou2021,n
TS_0254-0303_n,TS,0254-0303_n,ɔ̃,,,Zhou2021,n
TS_0069-025b_m,TS,0069-025b_m,iɛ,,,Zhou2021,m
TS_0069-0061_m,TS,0069-0061_m,ia,,,Zhou2021,m
TS_0069-0075_m,TS,0069-0075_m,iu,,,Zhou2021,m
TS_0069-0061-0075_m,TS,0069-0061-0075_m,iau,,,Zhou2021,m
TS_0069-006f-0075_m,TS,0069-006f-0075_m,iou,,,Zhou2021,m
TS_0069-025b-0303_m,TS,0069-025b-0303_m,iɛ̃,,,Zhou2021,m
TS_0069-0254-0303_m,TS,0069-0254-0303_m,iɔ̃,,,Zhou2021,m
TS_0075-0061_m,TS,0075-0061_m,ua,,,Zhou2021,m
TS_0075-0254_m,TS,0075-0254_m,uɔ,,,Zhou2021,m
TS_0075-0061-0069_m,TS,0075-0061-0069_m,uai,,,Zhou2021,m
TS_0075-0065-0069_m,TS,0075-0065-0069_m,uei,,,Zhou2021,m
TS_0075-025b-0303_m,TS,0075-025b-0303_m,uɛ̃,,,Zhou2021,m
TS_0075-00e3_m,TS,0075-00e3_m,uã,,,Zhou2021,m
TS_2075-2075_t,TS,2075-2075_t,⁵⁵,,,Zhou2021,t
TS_00b2-2074_t,TS,00b2-2074_t,²⁴,,,Zhou2021,t
TS_00b3-2075_t,TS,00b3-2075_t,³⁵,,,Zhou2021,t
TS_00b2-00b9_t,TS,00b2-00b9_t,²¹,,,Zhou2021,t
TS_2075-00b9_t,TS,2075-00b9_t,⁵¹,,,Zhou2021,t
TS_2075-00b3_t,TS,2075-00b3_t,⁵³,,,Zhou2021,t
XR_0070_i,XR,0070_i,p,,,Zhou2021,i
XR_0070-02b0_i,XR,0070-02b0_i,pʰ,,,Zhou2021,i
XR_0074_i,XR,0074_i,t,,,Zhou2021,i
XR_0074-02b0_i,XR,0074-02b0_i,tʰ,,,Zhou2021,i
XR_006b_i,XR,006b_i,k,,,Zhou2021,i
XR_006b-02b0_i,XR,006b-02b0_i,kʰ,,,Zhou2021,i
XR_02a6_i,XR,02a6_i,ʦ,,,Zhou2021,i
XR_02a6-02b0_i,XR,02a6-02b0_i,ʦʰ,,,Zhou2021,i
XR_02a8_i,XR,02a8_i,ʨ,,,Zhou2021,i
XR_02a8-02b0_i,XR,02a8-02b0_i,ʨʰ,,,Zhou2021,i
XR_0073_i,XR,0073_i,s,,,Zhou2021,i
XR_007a_i,XR,007a_i,z,,,Zhou2021,i
XR_0255_i,XR,0255_i,ɕ,,,Zhou2021,i
XR_0291_i,XR,0291_i,ʑ,,,Zhou2021,i
XR_0078_i,XR,0078_i,x,,,Zhou2021,i
XR_0263_i,XR,0263_i,ɣ,,,Zhou2021,i
XR_006d_i,XR,006d_i,m,,,Zhou2021,i
XR_006e_i,XR,006e_i,n,,,Zhou2021,i
XR_0235_i,XR,0235_i,ȵ,,,Zhou2021,i
XR_014b_i,XR,014b_i,ŋ,,,Zhou2021,i
XR_0077_i,XR,0077_i,w,,,Zhou2021,i
XR_006c_i,XR,006c_i,l,,,Zhou2021,i
XR_0069_n,XR,0069_n,i,,,Zhou2021,n
XR_0065_n,XR,0065_n,e,,,Zhou2021,n
XR_025b_n,XR,025b_n,ɛ,,,Zhou2021,n
XR_0061_n,XR,0061_n,a,,,Zhou2021,n
XR_0254_n,XR,0254_n,ɔ,,,Zhou2021,n
XR_006f_n,XR,006f_n,o,,,Zhou2021,n
XR_0075_n,XR,0075_n,u,,,Zhou2021,n
XR_0069_n,XR,0069_n,i,,,Zhou2021,n
XR_0129_n,XR,0129_n,ĩ,,,Zhou2021,n
XR_1ebd_n,XR,1ebd_n,ẽ,,,Zhou2021,n
XR_025b-0303_n,XR,025b-0303_n,ɛ̃,,,Zhou2021,n
XR_00e3_n,XR,00e3_n,ã,,,Zhou2021,n
XR_00f5_n,XR,00f5_n,õ,,,Zhou2021,n
XR_0069-025b_m,XR,0069-025b_m,iɛ,,,Zhou2021,m
XR_0069-0065_m,XR,0069-0065_m,ie,,,Zhou2021,m
XR_0069-0061_m,XR,0069-0061_m,ia,,,Zhou2021,m
XR_0069-0254_m,XR,0069-0254_m,iɔ,,,Zhou2021,m
XR_0069-0075_m,XR,0069-0075_m,iu,,,Zhou2021,m
XR_0069-025b-0303_m,XR,0069-025b-0303_m,iɛ̃,,,Zhou2021,m
XR_0069-00e3_m,XR,0069-00e3_m,iã,,,Zhou2021,m
XR_026f-0065_m,XR,026f-0065_m,ɯe,,,Zhou2021,m
XR_026f-0259_m,XR,026f-0259_m,ɯə,,,Zhou2021,m
XR_026f-0065_m,XR,026f-0065_m,ɯe,,,Zhou2021,m
XR_0075-0069_m,XR,0075-0069_m,ui,,,Zhou2021,m
XR_0075-025b_m,XR,0075-025b_m,uɛ,,,Zhou2021,m
XR_0075-0061_m,XR,0075-0061_m,ua,,,Zhou2021,m
XR_0075-025b-0303_m,XR,0075-025b-0303_m,uɛ̃,,,Zhou2021,m
XR_2075-2075_t,XR,2075-2075_t,⁵⁵,,,Zhou2021,t
XR_00b3-2075_t,XR,00b3-2075_t,³⁵,,,Zhou2021,t
XR_00b3-00b3_t,XR,00b3-00b3_t,³³,,,Zhou2021,t
XR_2075-2074_t,XR,2075-2074_t,⁵⁴,,,Zhou2021,t
XR_00b3-00b9_t,XR,00b3-00b9_t,³¹,,,Zhou2021,t
