No.	Gloss	P.	PBz	TS	FX	XR	XL	CB	CJ							
1	look; 看		*bɑ¹ᴸ	pa⁵¹	pa⁵³	pa⁵⁴	pa⁵³	bo³⁵; bo¹³								
2	to burn; 燃燒		*dɑ¹ᴹ	ta⁵¹				do⁵⁵	ta⁵¹ (2006S)							
3	to pound; 舂		*dɑ⁴	ta²⁴ 'to fall'				do²¹	do²¹ '踩 (to step on)'							
4	to drip; 撒、滴		*dɑ¹ᴴ	ta⁵⁵	ta⁵³	ʦʰə⁵⁴ ta⁵⁴ '滴水 (water drips)'		do⁵⁵								
5	to wear; 穿		*dɑ⁴	ta²⁴	ta³⁵	ta³⁵	ta³⁵	do²¹								
6	to grip; 握		*ǳɑ¹ᴹ		ʦa⁵³ '拿 (to hold)'	ʦa⁵⁴	ʦa⁵³	ǳo¹³								
7	to step on; 踩		*ʥɑ⁴	ʦa²⁴	ʦa³⁵		ʦa³⁵	do²¹								
8	to bite; 咬、吃		*gɑ³	ka⁵¹	ka³⁵	ka³⁵	ka³⁵	go¹³	go⁵³							
9	crow; 烏鴉		*gɑ²	ka²¹	ka²¹	a³³-³¹ kã³³; a³³ ka⁵⁴			go³⁵							
10	to marry (receive); 娶、取		*ɣɑ²	a²¹	a²¹	ɣa³³; ɣa⁵⁴	ɣa²¹	a³⁵								
11	to write; 寫		*ɣɑ³	a²⁴	a³⁵	ɣa³⁵	ɣa³⁵	wo⁵⁵								
12	to go pass; 過 v.		*ɣɑ³	a²⁴	a³⁵	ɣa³⁵	a²¹	wo⁵⁵								
13	to feed; 餵		*ɣɑ¹ᴸ	a⁵¹	a⁵³	a⁵⁴	ɣa⁵³	ʔo¹³								
14	firewood; 柴		*kʰɑ²		kʰa²¹	kʰa⁵⁴;  kʰa³³ tʰõ³³ '木头 (wood)'	kʰa²¹;  kʰa⁵⁵ muŋ⁵⁵ '树'	kʰo³⁵								
15	to lick; 舔		*lɑ⁴	la²⁴	la³⁵		la³⁵	lio²¹	lo²¹							
16	to sew; 縫		*lɑ²	la²¹	la²¹	la³³	la²¹	lo³⁵								
17	road; 路		*lɑ¹ᴹ	la⁵¹	la⁵³	la⁵⁴		lo³³								
18	son-in-law; 女婿		*mɑ⁴	ma²⁴	ma³⁵	ma³³;  ma³⁵		mo²¹ ŋɨ²¹								
19	I; 我		*ŋɑ¹ᴹ	ŋa²⁴	ŋa³⁵ (nom.); ŋa⁵³ (acc.)	ŋa³³	ŋa³⁵	ŋo³³								
20	to cut with knife; 割		*ŋɑ¹ᴸ	ŋa⁵¹	ŋa⁵³	ŋã⁵⁴	ŋ⁵⁵(typo?)	ŋo¹³								
21	small; 小		*sɑ¹ᴹ	suã⁵¹	suan⁵³	so⁵⁴	suã⁵³	sa³³								
22	to split; 劈		*sɑ¹ᴴ	sa⁵⁵	sa⁵⁵	sa⁵⁴	sa²¹	so⁵⁵								
23	silkworm; 蠶		*sɑ¹ᴹ	sai⁵¹	sai⁵³			so³³	so³³ ȵi⁵⁵							
24	to float; 浮		*tʰɑ²	tʰa²¹	tʰa²¹	tʰa³³			to³⁵ (Xu 2020)							
25	good; 好		*ʦʰɑ⁴	ʦʰa²⁴	ʦʰa³⁵	ʦʰa³³-³⁵	ʦʰai³⁵	ʦʰo²¹								
26	to wash; 洗		*zɑ²/@?	ʦa²⁴	ʦa³⁵	ʦa³³	ʦa³⁵	ʦʰe³³ zo¹³	zo³⁵ (sʰower)							
27	negative imperative; 禁止		*tæ¹ᴴ	tʰa⁵¹	tʰa⁵³	tʰa³³		ta³³;  ta²¹;  ta¹³								
28	to pull; 拔		*ʦʰæ²		ʨʰi⁵³ ʨʰa³⁵			ʦʰa³⁵	ʦʰa³⁵							
29	to rise (water); 漲		*dɑC²	tuɔ²¹ 'tɔ flɔw'				da³⁵;  da¹³	da²¹; da³⁵							
30	to chop; 剁		*dɑC¹ᴸ	tuɔ⁵¹	to⁵³ '砍'	tu⁵⁴ to³³ 		da¹³								
31	to beg; 乞討		*gɑC⁴		ko³⁵	ko³⁵		ga²¹								
32	pro-3rd-sg; 他		*kɑC¹ᴹ	kuɔ²⁴	ko³⁵ (nom.);  ko⁵³ (acc.)	ko³³	ko³⁵	ka³³								
33	to break (from the middle); 斷		*kʰɑC²	kʰuɔ²¹	kʰo²¹			kʰa³⁵								
34	to boil; 煮		*lɑC³		lo³⁵	lo³⁵		la⁵⁵								
35	person; 人		*ȵɑC¹ᴹ	luɔ⁵¹	lo⁵³	no⁵⁴	lo⁵³;  lo⁵⁵	ȵa³³								
36	silver; 銀子		*ŋɑC¹ᴹ	ŋɔ⁵¹	ŋo⁵³	ŋo⁵⁴	ŋo⁵³	ŋa³³								
37	to wash; 淘洗		*[ŋ/ʔ]ɑC¹ᴴ	wɔ⁵⁵	o⁵³	ɣo⁵⁴	wo⁵⁵	ŋa⁵⁵								
38	to release; 放		*pʰɑC¹ᴴ	pʰɔ⁵⁵	pʰo⁵³	pʰo⁵⁴		pʰa⁵⁵								
39	earth; 地		*ɹɑC¹ᴴ	zuɔ⁵¹	zo⁵³ '土'	zo³⁵	zo⁵⁵	za⁵⁵								
40	sheep, goat; 羊		*ɹɑC⁴	zuɔ²⁴	zo³⁵	zo³⁵		zo²¹	zo²¹ nũ²¹; zo²¹ loŋ²¹							
41	house; 房子		*ʦʰɑC¹ᴹ	ʦʰuɔ⁵¹	ʦʰo⁵³	ʦʰo⁵⁴	ʦʰu⁵⁵;  ʦʰu⁵⁵ 'ʰome'	ʦʰo³³								
42	to carry on the back; 背 v.		*ʔɑC¹ᴹ	wɔ⁵¹	o⁵³		wo⁵⁵	ʔa³³								
43	bovine; 牛		*ʔɑw⁴		au³⁵		au³⁵	o²¹								
44	iron; 鐵		*ɕe¹ᴹ	ɕiɛ⁵¹	ɕe⁵⁴	ɕe⁵⁴	ɕe⁵³	ɕe³³								
45	to swing; 甩		*ɕe²		ɕe²¹ '摇'			ɕie³⁵								
46	hand; 手		*ʥe³	ʨiɛ²⁴	ʨe³⁵	ʨe³⁵	ʨe³⁵	a³⁵ ʥie⁵⁵	ʔa³⁵ ʨe⁵³							
47	to compel; 逼		*[p/pʰ]e@?		pie²¹			pie²¹								
48	to scrape; 刮		*pʰe¹ᴴ	pʰiɛ⁵¹ 'tɔ pluck'		pʰiɛ⁵⁴;  pʰie⁵⁴	pʰie⁵³	pʰie⁵⁵ 								
49	mouse; 鼠		*ɹe²	zɤ²¹	ze²¹	zə³³	ze²¹	ze³⁵								
50	wine; 酒		*ɹe⁴	zɤ²⁴	ze³⁵	zə³⁵	ze³⁵	ze²¹								
51	to swallow; 吞		*ɹe⁴	zɤ²⁴	ze³⁵	zə³³	ze³⁵	ze³⁵;  ze¹³	ze¹³; ze²¹							
52	medicine; 藥		*se²		se⁵³ ʦo⁵³ '医生 (doctor)'	sə⁵⁴	se²¹	se³⁵								
53	to die; 死		*se⁴	sɤ²⁴	se³⁵	sə³⁵ tʰu³³ '死的 (dead)';  sə³³; no⁵⁴ sə³⁵ '死人 (dead person)'	se³⁵	se²¹								
54	water; 水		*ʦʰe²	ʦʰɤ²¹	ʦʰe²¹	ʦʰə⁵⁴;  ʦʰə³³ in '打水 (to get water)'	ʦʰe²¹	ʦʰe³⁵								
55	to arrive; 到		*ʔe@?	jɛ⁵¹	ie⁵³	ʑe⁵⁴	je⁵⁵ lio⁵⁵	je²¹ '去'								
56	Hmongic; 苗族		*b[e/ɤ]@?		pe³⁵ kʰa²¹	pɯə³⁵ kʰa⁵⁴		bie³³	bie³¹ ʕɯ³¹ ȵia²¹							
57	sleep; 睡		*ȵ[e/ɤ]⁴	ȵiɛ²⁴	ȵie³⁵	ȵe³³ pie⁵⁵ ʦe³³ '困'		ȵe²¹								
58	to laugh; 笑		*ȵ[e/ɤ]¹ᴹ	ȵiɛ⁵¹	ȵie⁵³	ȵie⁵⁴	ȵe⁵³	ȵie³³								
59	riped; 熟		*beC[¹ᴹ/¹ᴴ]	pɤ²¹ pɤi⁵⁵		pɯe³³		bɯ³³	bɯ⁵³ bɯu⁵³							
60	to blow; 吹		*meC³	miɛ²⁴	mie³⁵	mie³⁵;  miɛ³⁵	mie³⁵	mi⁵⁵	mi⁵³							
61	to steal; 偷		*ɣɤ³		e³⁵	ɣə³⁵;  ɣɯ³⁵	ɣəu³⁵		ɣɯe⁵³							
62	to steal; 偷		*xɤ@?	xɤ²¹				ʕe⁵⁵								
63	to carry; 搬		*bɤ¹ᴹ	pɤ⁵¹		pɯe⁵⁴;  po⁵⁴	pɯe⁵⁵	bie³³;  bɨe³³ '抬'								
64	to think; 想		*dɤ³	tiɛ²⁴	tie³⁵	tie³⁵	tie³⁵	de⁵⁵	die⁵³							
65	slow; 慢		*dɤ¹ᴴ	mã²⁴	te⁵³		tie³⁵ die²¹ mo²¹ mo²¹	de⁵⁵	de⁵³							
66	to broke in the middle; 破、斷		*dɤ²		te²¹	tie³³ kʰa³³ la³³ '破烂'	so⁵⁵ tie²¹ '割断 (to cut)'	de³⁵	die³⁵							
67	drunk; 醉		*ʥɤ²	ʨiɛ²¹	ʨe²¹	ʨe³³			die³⁵							
68	to fear; 怕		*gɤ¹ᴹ	kɤ⁵¹	ke⁵³	kɯə⁵⁴		ge³³								
69	long; 長		*ɣɤ²	ɣɤ²¹	e²¹	ɣə³³-³¹	ɣəu²¹	ɣe³⁵								
70	to give, to feed; 給、送、餵		*lɤ³	liɛ²⁴	le³⁵	lie³³-³⁵	lie³⁵	lie⁵⁵								
71	to lay (egg); 下（蛋）		*lɤ¹ᴴ		le⁵⁵ la⁵³ xu²¹ 'given birth (生下来了)'	lie³³		lie⁵⁵	lie²¹; lie⁵³							
72	sky; 天		*mɤ⁴	mɤ²⁴	me³⁵	mɯe³⁵	mɯe³⁵	mɨe²¹								
73	to lie on one's belly; 趴著、孵 ༴ 'to lie down'		*pʰɤ²	pʰɤ²¹		pʰɯe³³		pʰɨe³⁵								
74	to wrap; 包		*pʰɤ¹ᴴ	pʰɤ⁵⁵	pʰe⁵³	a⁵⁴ pʰɯe³³-³¹		pʰe⁵⁵								
75	to lie down, to lower one's head; 低頭、躺		*pʰɤ²		pʰe²¹			pʰe³⁵								
76	grandson; 孫子		*ɹɤ¹ᴹ	zɤ⁵¹	ze⁵³	zə³⁵ pi³⁵-³³; zə³⁵-⁵⁴	zə⁵³ pi³⁵	ze³³								
77	feces; 屎		*sɤ²	sɤ²¹	se²¹	sə³³	sə²¹	se³⁵								
78	to plant, to stick in; 插、栽		*sɤ¹ᴴ	sɤ⁵⁵ 'tɔ sɔw'	se⁵³	sə⁵⁴	sə⁵⁵	se⁵⁵								
79	female genital; 女陰		*tʰɤ²	tʰiɛ²¹	tʰe²¹	tʰie⁵⁴		tʰe³⁵ (Xu 2020)	tʰe³⁵ bu²¹							
80	to pick (flower); 摘		*tʰɤ³	tʰiɛ²⁴			tʰe³⁵	tʰie⁵⁵	tʰie⁵³							
81	rain; 雨		*ʦɤ²	mɤ²⁴ ʦɤ²¹	me³⁵ ʦe²¹	mɯe³⁵	ǳə²¹	ze²¹								
82	to be willing to; 肯		*ʦʰɤ³	-ʦʰɤ⁵⁵		ʦʰe³³	ʦʰə³⁵ '愿意'	ʦʰɨe⁵⁵								
83	to rain; 下（雨）		*zɤ²	ʦɤ²¹	ʦe²¹	ʦə³³	ǳə²¹	ze³⁵	ze³⁵							
84	soft; 柔軟		*bɤC¹ᴴ	pɤ²⁴; pɤ²¹ pɤi⁵⁵		pɯɛ³³ pɯɛ³³-³⁵	pɯe²¹ pɯe³⁵ die²¹	bɯ³⁵								
85	similar; 像		*ǳɤC²	ʦɤ²¹	ta⁵³ ʦe²¹	ʦə³³		ǳɿ³⁵								
86	diluted; 稀		*bi¹ᴴ	kʰa⁵⁵ piɛ⁵⁵ 'wet'		kʰa⁵⁴ pi³³ lie³³	pie⁵⁵	bi⁵⁵								
87	flat; 平		*bi¹ᴹ	pi²¹	pi²¹ tʰa²¹  tʰa²¹ 				bi³¹;bi³³							
88	sharp; 鋒利		*ɕi¹ᴸ	ɕi⁵¹	ɕi⁵³	ɕi⁵⁴	ɣa³⁵	kau⁵⁵ ɕi¹³ ʨie '使锐利'								
89	to need, to owe; 需要、欠		*di¹ᴸ		ti⁵³	ti⁵⁴	ti⁵³	di³⁵; di¹³								
90	sickness; 病		*di⁴		ti³⁵ 'painful (痛)'	ti³⁵			di²¹; dɯ²¹							
91	to become; 變成		*ǳi@?	ʦɿ²⁴	ʦi³⁵		ʥi⁵⁵ lio⁵⁵	ʥi³⁵								
92	to walk; 走		*ɣi⁴	ɣɨ²⁴	ei³⁵	ɣə³³-³⁵	ɣɯ³⁵	ɣi³⁵; ɣi²¹								
93	to sweep; 掃		*ɣi²	ɣɨ²¹	ei²¹	ɣɯ³³; ə³³	ɣɯ²¹	ʔɨ⁵⁵	ɣɯ³⁵							
94	to cut with a saw; 鋸		*kʰi@?		kʰi³⁵	kʰɯ³⁵	kʰɯ³⁵	kʰi³³								
95	hard; 堅硬		*kʰi¹ᴸ		kʰi⁵³		kʰɯ⁵³	kʰi¹³	kʰɨ¹³ '浓稠' (1986S)							
96	fire; 火		*mi¹ᴴ	mi⁵¹	mi⁵⁵	mi⁵⁴	mi⁵⁵	mi⁵⁵								
97	to spread out; 鋪開		*mi²		mi²¹ 	mi³³		mi³⁵								
98	you; 你		*ȵi¹ᴹ	ȵi²⁴	ȵi³⁵ (nom.); ȵi⁵³ (acc.)	ȵi³³	ȵi³⁵; ȵi⁵⁵	ȵi³³								
99	to lend; 借出		*ŋi¹ᴴ		oŋ⁵³	ɣõ⁵⁴		ŋɨ⁵⁵								
100	five; 五		*ŋi¹ᴹ	ɔ̃⁵⁵	oŋ³⁵ pu⁵³	õ⁵⁴ na⁵⁴ xu³³	uŋ⁵⁵	ŋi³³								
101	to puke; 嘔吐		*pʰi³	pʰi²⁴	pʰi³⁵	pʰi³³	pʰi³⁵	pʰi⁵⁵								
102	to get; 得到		*ti@?	tʰi²¹	tʰi²¹	tʰi³³	tʰi²¹ lio⁵⁵	ti⁵⁵								
103	scale; 秤		*ʨʰi¹ᴹ	ʨʰi⁵¹	ʨʰi⁵³	ʨʰi⁵⁴	ʨʰi⁵³ 'to measure the weight of'	ʨʰi³³								
104	jin; 斤		*ʨʰi¹ᴹ	ʨʰi⁵⁵	ʨʰi⁵³	ʨʰi³³		ʨʰi³³	ʨʰi²¹							
105	paint; 漆		*ʨʰi⁴				ʨʰi³⁵		ʨʰi²¹ (Yang 2011)							
106	to wait; 等待		*tʰi¹ᴹ		tʰi⁵⁵	tʰi⁵⁴	tʰi²¹ bo²¹	tʰi³³								
107	to rest; 休息		*xi[¹ᴹ/¹ᴴ]	xɨ⁵¹	xei⁵³	xɯ⁵⁴; xəu⁵⁴	xɯ⁵⁵ bo²¹	ʕi³³								
108	to see; 看見		*ʔi²	ji²¹	i²¹	ʑi³³	ji²¹ lio⁵⁵	bo³⁵ ji³⁵								
109	have; 有		*ʔi@?	tʰai²⁴ 'tɔ nɔt have'	tʰai³⁵ 'to not have'	tʰɛ³⁵	ɕe³⁵	ji³⁵								
110	to cry; 哭		*ǳiC⁴	ʦɿ²⁴	ʦi³⁵	ʨi³³	ʥi³⁵	ʥi²¹ 								
111	tiger; 老虎		*lie⁴	li²⁴	li³⁵	li³³; li³⁵	li³⁵ pa⁵⁵	lie²¹								
112	to light up; 點燃		*tʰie⁴		tʰi³⁵		tʰi³⁵	tʰi²¹	tʰe²¹							
113	to answer; 答應		*tʰie³		tʰi³⁵	tʰi³³; tʰi³⁵	tʰi³⁵	tʰɨ²¹	tʰe²¹							
114	to grow fruit; 結（果子）		*ǳɿ²	ʨi²⁴	ʦi²¹	ʦɿ³³ '成 (to become)'		ǳi³⁵								
115	pig; 豬		*ǳɿ¹ᴸ	ʦɿ⁵¹	ʦi⁵³	ʦɿ⁵⁴	ʦɿ⁵³	ǳi¹³								
116	rice, meal; 飯		*ǳɿ²	ʦɿ²¹	ʦi²¹	ʦɿ³³	ǳɿ²¹	ǳi³⁵								
117	to snow; 下（雪）		*ǳɿ³	su²⁴ su⁵⁵ ʦɿ²⁴	ʦi³⁵	ʦɿ³⁵		ǳi⁵⁵								
118	net; 網		*ɹɿ¹ᴴ		zi²¹	zɿ⁵⁴			zi⁵⁵ (Xu 2020)							
119	to do; 做		*ɹɿ¹ᴸ	zɿ⁵⁵	zi⁵³	zɿ⁵⁴	zɿ⁵⁵	zi¹³								
120	many; 多		*ɹɿ²	zɿ²¹	zi²¹	zɿ³³	zɿ²¹	zi³⁵								
121	meat; 肉		*sɿ²	sɿ²⁴ ⁵⁵		sɿ⁵⁴	si²¹; sɿ²¹	si³⁵								
122	fat (adj.); 肥		*sɿ⁴		si³⁵	sɿ³³; sɿ³⁵	se²¹ sɿ³⁵	si²¹								
123	to send away; 送（走）		*sɿ⁴	sɿ²¹ ⁵		sɿ³⁵		si²¹								
124	to grow; 生長		*sɿ²	sɿ²⁴ ⁵⁵		sɿ³³ '长'		si³⁵ '生（小孩）'								
125	boat; 船		*bu¹ᴸ	pu⁵¹	pu⁵³	pu⁵⁴	pei⁵³	bu¹³								
126	to pound; 舂		*bu³	pu²⁴		pu³⁵ '磕 (to knock)'		bu⁵⁵ '打'								
127	to stand; 站		*ʥu¹ᴹ	ʦu⁵⁵ ʦu⁵¹; ʦu⁵⁵		ʦu⁵⁴ ʦu³³	ʦu⁵⁵	du³³								
128	to crawl; 爬、上		*gu²	ku²¹		ku⁵⁴	ku²¹	gu³⁵								
129	sell; 賣		*lu²	lu²¹	lu²¹	lu³³	lu²¹	lu¹³								
130	to lend out; 借出		*lu⁴		lu³⁵				gu²¹ lu²¹ lu²¹ '借钱'							
131	buy; 買		*pʰu¹ᴴ	pʰu⁵⁵	pʰei⁵³	pʰu⁵⁴	pʰu⁵⁵	pʰu⁵⁵								
132	daughter-in-law; 兒媳		*pʰu⁴	pʰu²⁴	pʰu³⁵	pʰu³⁵		pʰu²¹ ŋɨ²¹								
133	dragon; 龍		*pʰu⁴	pʰu²⁴	pʰu³⁵	pʰu³³		pʰo²¹	pʰ̬o²¹ nũ²¹							
134	light-weighted; 輕		*ɹu¹ᴸ	ʨʰĩ⁵⁵	zu⁵³	zu⁵⁴	zu⁵³	zu¹³								
135	to crow; 啼		*ɹu⁴	zɔ̃²⁴	zoŋ³⁵	zõ³⁵ '叫'	zuŋ³⁵	zu²¹								
136	to water (a plant); 澆		*tu⁴		tʰu³⁵	tʰu³³			to³⁵ (Xu 2020)							
137	to contain; 裝		*ʨu¹ᴸ	ʦʰu⁵¹	ʦʰu⁵³	ʦʰu⁵⁴		tu¹³	du¹³							
138	to pick up; 撿		*tʰu¹ᴴ		tʰu⁵³	tʰu⁵⁵ tʰu³³	tʰu⁵⁵	tʰu⁵⁵								
139	straight; 直		*ʦʰu²	ʦʰu²¹ ʦʰu²¹	ʦʰu³⁵ ʦʰu³⁵			ʦʰu³⁵ ʦʰu¹³								
140	swollen; 腫		*xu²	xu²¹	xu²¹	xu³³		fu³⁵								
141	drill; 鑽子		*ʔu¹ᴴ			wu⁵⁵ ʦuã³³		wu⁵⁵								
142	to measure; 量		*ʔu¹ᴹ	wu²¹	u²¹	ɣu⁵⁴; wu⁵⁴		wu³³ '量(布)'; wu¹³ '量(米)'								
143	rice steamer; 甑子		*buŋ¹ᴹ	pɔ̃⁵¹		põ⁵⁴		bɯ³³								
144	short; 短		*ǳuŋ¹ᴸ		ʦoŋ⁵³	ʦõ⁵⁴		ǳɯ¹³								
145	rotten; 腐爛		*[l/n]uŋ¹ᴴ	lɔ̃⁵⁵	loŋ⁵⁵ '朽'		luŋ⁵⁵ ɕe²¹	nẽ⁵⁵								
146	to feed; 飼養		*nuŋ¹ᴹ		loŋ⁵³	nõ⁵⁵; nõ⁵⁴	luŋ⁵⁵	nẽ³³; lẽ³³								
147	year; 年		*ȵuŋ²	lɔ̃⁵⁵	loŋ²¹	nõ³³		ȵɯ³⁵								
148	to cough; 咳嗽		*ȵuŋ¹ᴴ	lɔ̃⁵⁵	loŋ⁵³ se²¹	ȵu⁵⁴; nõ⁵⁴	nuŋ⁵⁵ zo²¹	ȵɯ⁵⁵								
149	to steam; 蒸		*tuŋ¹ᴹ	tʰɔ̃⁵¹	tʰoŋ⁵³	tʰõ⁵⁴	tʰuŋ⁵³	tɯ³³								
150	to open; 打開		*tʰuŋ⁴	tʰɔ̃²⁴	tʰoŋ³⁵	tʰõ³⁵	tʰuŋ³⁵	tʰɯ²¹								
151	to sit; 坐		*ʔuŋ²	ɔ̃²¹	oŋ²¹	ɣõ³⁵ '住 (to live at)'	uŋ²¹	ʔɯ³⁵								
152	to grow up; 長大		*ʔuŋ⁴	ɔ̃²⁴	oŋ³⁵	õ³⁵	uŋ³⁵	ʔɯ²¹								
153	to fry; 油炸		*bɯ¹ᴹ		pu²¹				bu⁵³							
154	to soak; 浸泡		*bɯ¹ᴸ		pu⁵³	pu⁵⁴ po³³-³¹		bɯ¹³								
155	heavy; 重		*dɯ¹ᴸ	ʦɔ̃²⁴	tu⁵²	tu⁵⁴	tu⁵³	dɯ¹³								
156	to exit; 出		*ǳɯ³	ʦʰɿ²¹	ʦu³⁵	ʦu³³-³⁵	ʦu³⁵	ǳɯ⁵⁵								
157	to belong to a Chinese zodiac; 屬（豬）		*ǳɯ⁴		ʦu³⁵	ʦu³³ ɕe³³			ǳʉ¹³ (Xu 2020)							
158	drink; 喝		*xɯ²	xu²¹	xu²¹	xu³³	xu⁵⁵	ħɯ³⁵								
159	to burn; 燒		*ʔɯ³	wu²⁴	u³⁵	wu³⁵; wu⁵⁴-³³		ʔɯ⁵⁵								
1001	male genital; 男生殖器	S^	*ɹiC²	zɿ²¹	zi²¹ '男根'	ʑi⁵⁴			ji¹³ doŋ²¹							
1002	what; 什麼	S^	*ʦʰ[V]¹ᴴ	ʨʰiɛ⁵¹	ʦʰi⁵⁵ ʦʰi⁵³	ʨʰe³⁵	ʨʰe³⁵ ɕi³⁵	ʦʰɯ⁵⁵ ɣo²¹								
1003	head; 頭	$	*bɑ¹ᴴ		kʰo⁵³ pa⁵³	kʰu⁵⁵ pa³³-³¹; kʰo⁵⁵ pa⁵⁵	kʰo⁵⁵ pa⁵⁵	a¹³ bo⁵⁵								
1004	male; 公	$	*bɑ¹ᴹ	-a⁵⁵ pa⁵⁵	a⁵³ pa²¹	za³³ pa³³ '公鸡 (cock)'		bo³³								
1005	dry; 乾	S$	*gɑ²	a⁵⁵ ka²¹	a⁵⁵ ka²¹	a⁵⁴ ka³³	ka²¹; a⁵⁵ ka²¹	go³⁵								
1006	thick; 厚	$S	*lɑ¹ᴹ	la²⁴	la³⁵	la³³	la³⁵	ʔa²¹ lo²¹								
1007	mosquito; 蚊子	N^ S$	*mɑ¹ᴹ	ma⁵⁵ kʰu²¹ li²¹	ma⁵³ kʰo⁵³ li²¹			dzɨ³³ mo³³	dzɿ²¹ mo²¹; dzɿ²¹ mao²¹;							
